tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;season
135139;839571;40118;Armando Alfageme;31;Perú;Pivote;Universitario;1123.0;17.0;12.0;0.0;7.0;1.0;2.0;4.0;1.0;5.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;30.0;14.0;20.0;13.0;0.0;18.0;14.0;4.0;48.0;386.0;300.0;55.0;28.0;3.0;101.0;3.0;4.0;0.0;2022_2023
486264;883339;40118;Kevin Moreno;25;Perú;Defensa central;Dep. Municipal;1498.0;21.0;17.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;53.0;34.0;52.0;22.0;1.0;16.0;11.0;17.0;69.0;677.0;507.0;93.0;60.0;4.0;230.0;9.0;5.0;0.0;2022_2023
94761;883299;40118;Janio Pósito;32;Perú;Delantero centro;Dep. Binacional;1976.0;26.0;22.0;15.0;64.0;28.0;27.0;9.0;2.0;31.0;1.0;6.0;2.0;0.0;2.0;2.0;19.0;9.0;3.0;4.0;8.0;1.0;32.0;33.0;31.0;44.0;418.0;312.0;127.0;7.0;0.0;187.0;16.0;1.0;2.0;2022_2023
805862;1017755;40118;Emilio Saba;21;Palestina;Lateral derecho;FBC Melgar;723.0;15.0;7.0;0.0;4.0;1.0;2.0;1.0;1.0;10.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;19.0;12.0;14.0;4.0;0.0;15.0;4.0;9.0;32.0;255.0;186.0;59.0;12.0;8.0;147.0;9.0;2.0;0.0;2022_2023
201043;358202;40118;Gianmarco Gambetta;31;Perú;Defensa central;AD Cantolao;1184.0;17.0;12.0;0.0;4.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;12.0;14.0;58.0;7.0;1.0;19.0;5.0;28.0;19.0;449.0;317.0;45.0;59.0;0.0;152.0;4.0;2.0;0.0;2022_2023
480527;973681;40118;Rely Fernández;24;Perú;Extremo derecho;CA Mannucci;1214.0;28.0;11.0;4.0;37.0;14.0;15.0;8.0;3.0;26.0;3.0;4.0;19.0;0.0;1.0;1.0;4.0;28.0;7.0;6.0;14.0;0.0;35.0;31.0;17.0;78.0;295.0;239.0;94.0;17.0;15.0;191.0;32.0;6.0;0.0;2022_2023
122114;162435;40118;Pedro Requena;31;Perú;Lateral derecho;Carlos Stein;100.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;20.0;8.0;1.0;2.0;0.0;19.0;0.0;0.0;0.0;2022_2023
82570;924643;40118;John Fajardo;33;Perú;Defensa central;Carlos Stein;876.0;11.0;11.0;0.0;5.0;0.0;2.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;14.0;8.0;57.0;3.0;2.0;7.0;5.0;12.0;20.0;329.0;258.0;26.0;34.0;0.0;84.0;4.0;4.0;0.0;2022_2023
342051;846373;40118;Patrick Zubczuk;27;Perú;Portero;Cienciano;450.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;2.0;1.0;103.0;74.0;4.0;32.0;0.0;31.0;0.0;0.0;0.0;2022_2023
102784;107293;40118;Joel Sánchez;33;Perú;Mediocentro ofensivo;FBC Melgar;631.0;21.0;6.0;0.0;21.0;7.0;12.0;2.0;1.0;19.0;1.0;1.0;13.0;0.0;0.0;0.0;0.0;13.0;3.0;1.0;7.0;0.0;10.0;15.0;7.0;40.0;395.0;322.0;129.0;22.0;5.0;151.0;15.0;0.0;0.0;2022_2023
